epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.828,1.37959,2.17989,1.07957,0.43617,0.24896,0.2691,0.16408,1.36883,1.84694,1.05326,0.000331197,0.000331197,0.000331197
2,938.84,1.26633,1.29341,1.04121,0.61088,0.32265,0.33709,0.20547,1.25043,1.268,1.04172,0.000657951,0.000657951,0.000657951
3,1373.33,1.24151,1.1661,1.03856,0.6382,0.29201,0.32597,0.19669,1.29249,1.25977,1.05498,0.000978106,0.000978106,0.000978106
4,1817.97,1.23924,1.09945,1.03245,0.59777,0.28222,0.29412,0.18045,1.29759,1.29464,1.06414,0.0009703,0.0009703,0.0009703
5,2253.16,1.19731,1.01167,1.02081,0.51287,0.31882,0.35838,0.21785,1.23834,1.13349,1.04824,0.0009604,0.0009604,0.0009604
6,2704.6,1.19153,0.98222,1.01985,0.71927,0.28923,0.35229,0.21545,1.24426,1.1355,1.04882,0.0009505,0.0009505,0.0009505
7,3157.76,1.17366,0.95184,1.01165,0.55078,0.34487,0.36971,0.22894,1.2041,1.13188,1.04014,0.0009406,0.0009406,0.0009406
8,3610.2,1.15843,0.93036,1.00802,0.54792,0.33311,0.35885,0.22633,1.20778,1.092,1.03551,0.0009307,0.0009307,0.0009307
9,4062.31,1.13972,0.89863,0.99986,0.48074,0.34099,0.37721,0.23521,1.19713,1.03385,1.03902,0.0009208,0.0009208,0.0009208
10,4512.91,1.13643,0.89373,0.99845,0.4946,0.35135,0.37578,0.23604,1.19362,1.00934,1.04544,0.0009109,0.0009109,0.0009109
11,4951.46,1.11384,0.87366,0.99139,0.4982,0.3651,0.38062,0.2375,1.21097,1.05335,1.05479,0.000901,0.000901,0.000901
12,5385.61,1.11772,0.86644,0.9906,0.53963,0.35842,0.39256,0.24555,1.1981,1.05025,1.03423,0.0008911,0.0008911,0.0008911
13,5827.26,1.10098,0.84672,0.9839,0.55177,0.35759,0.38724,0.23366,1.21721,1.04069,1.04216,0.0008812,0.0008812,0.0008812
14,6260.83,1.08991,0.83413,0.98039,0.57162,0.36073,0.39002,0.24482,1.15269,0.98248,1.01698,0.0008713,0.0008713,0.0008713
15,6712.23,1.09506,0.83739,0.98115,0.57559,0.37307,0.40957,0.25627,1.15339,0.95741,1.01772,0.0008614,0.0008614,0.0008614
16,7162.46,1.0876,0.83277,0.97907,0.60031,0.33996,0.39174,0.24256,1.19788,1.00617,1.03487,0.0008515,0.0008515,0.0008515
17,7615.46,1.08553,0.81989,0.97781,0.5221,0.36523,0.40081,0.2524,1.17068,0.99048,1.02877,0.0008416,0.0008416,0.0008416
