epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.306,1.13794,1.25032,1.01051,0.46724,0.30867,0.33966,0.20471,1.24598,1.27451,1.06446,0.000331197,0.000331197,0.000331197
2,685.103,1.1471,0.96017,1.0141,0.66444,0.36258,0.39528,0.24137,1.16431,1.06779,1.03903,0.000657951,0.000657951,0.000657951
3,1214.15,1.1405,0.9244,1.01521,0.53143,0.33724,0.3692,0.22114,1.25328,1.33473,1.08072,0.000978106,0.000978106,0.000978106
4,1739.54,1.14803,0.92066,1.0143,0.55559,0.32958,0.36753,0.22544,1.20658,1.17886,1.05648,0.0009703,0.0009703,0.0009703
5,2251.3,1.11119,0.86763,1.00145,0.55543,0.35316,0.39189,0.24269,1.20828,1.07881,1.06937,0.0009604,0.0009604,0.0009604
6,2745.21,1.09957,0.85662,0.999,0.53941,0.34791,0.39539,0.25008,1.13956,0.98818,1.02628,0.0009505,0.0009505,0.0009505
7,3239.43,1.07934,0.8288,0.99031,0.51898,0.37084,0.39125,0.24693,1.14541,0.9934,1.03104,0.0009406,0.0009406,0.0009406
8,3733.88,1.06716,0.8103,0.98381,0.55889,0.38016,0.41702,0.26496,1.12671,0.971,1.01835,0.0009307,0.0009307,0.0009307
9,4226.78,1.04395,0.78351,0.97591,0.58358,0.40421,0.44597,0.27852,1.11748,0.90056,1.02136,0.0009208,0.0009208,0.0009208
10,4727.1,1.04478,0.78355,0.97601,0.5895,0.41323,0.44926,0.28511,1.08332,0.90319,1.00153,0.0009109,0.0009109,0.0009109
11,5242.68,1.0189,0.76259,0.96582,0.54518,0.38648,0.41638,0.26861,1.11577,0.93541,1.0166,0.000901,0.000901,0.000901
12,5767.11,1.01886,0.75879,0.96403,0.58282,0.39635,0.44683,0.2832,1.09803,0.88606,1.0217,0.0008911,0.0008911,0.0008911
13,6269.45,1.0083,0.74214,0.95957,0.62077,0.41433,0.45948,0.29131,1.08145,0.86865,1.00464,0.0008812,0.0008812,0.0008812
14,6760.5,0.99988,0.73127,0.95622,0.59418,0.42032,0.46095,0.29393,1.08664,0.8638,1.00675,0.0008713,0.0008713,0.0008713
15,7252.28,0.99359,0.72518,0.95433,0.62316,0.41225,0.46521,0.29768,1.04666,0.85117,0.98343,0.0008614,0.0008614,0.0008614
16,7744.35,0.99012,0.72308,0.95298,0.64525,0.40759,0.46467,0.29665,1.07047,0.89345,0.99972,0.0008515,0.0008515,0.0008515
17,8235.89,0.98651,0.71226,0.95146,0.58564,0.42267,0.46168,0.29358,1.08204,0.89012,1.0066,0.0008416,0.0008416,0.0008416
18,8741.24,0.97803,0.70994,0.9511,0.62123,0.43266,0.476,0.30319,1.06808,0.85991,1.0058,0.0008317,0.0008317,0.0008317
19,9252.54,0.967,0.69819,0.94468,0.57965,0.41632,0.45376,0.29078,1.07876,0.87799,0.9981,0.0008218,0.0008218,0.0008218
20,9779.71,0.97038,0.69837,0.94576,0.6257,0.4495,0.49625,0.31508,1.05395,0.81804,0.99541,0.0008119,0.0008119,0.0008119
21,10276,0.95612,0.68627,0.93902,0.60046,0.42738,0.46604,0.30103,1.04503,0.83515,0.98626,0.000802,0.000802,0.000802
22,10766.7,0.95755,0.68721,0.93866,0.61272,0.43705,0.47783,0.30862,1.04242,0.8524,0.98765,0.0007921,0.0007921,0.0007921
23,11258.2,0.95969,0.6784,0.94015,0.62773,0.4376,0.48684,0.31675,1.04192,0.82765,0.99102,0.0007822,0.0007822,0.0007822
24,11750.4,0.94785,0.67376,0.93758,0.60987,0.44369,0.47918,0.30934,1.04297,0.81781,0.98687,0.0007723,0.0007723,0.0007723
25,12241.4,0.94319,0.66663,0.93593,0.64844,0.4329,0.48956,0.3165,1.04703,0.8225,0.99049,0.0007624,0.0007624,0.0007624
26,12754.6,0.93284,0.65956,0.93176,0.60775,0.44675,0.48653,0.31348,1.04801,0.83565,0.98532,0.0007525,0.0007525,0.0007525
27,13268.9,0.93704,0.65469,0.9323,0.63011,0.45171,0.49971,0.32147,1.04022,0.80221,0.98824,0.0007426,0.0007426,0.0007426
28,13794.3,0.92956,0.65139,0.92961,0.6191,0.44508,0.48487,0.31375,1.04554,0.83607,0.9883,0.0007327,0.0007327,0.0007327
29,14286.8,0.92771,0.65109,0.93316,0.63881,0.44631,0.49604,0.32302,1.03235,0.81508,0.9838,0.0007228,0.0007228,0.0007228
30,14777.7,0.92268,0.64306,0.92774,0.65207,0.45103,0.51274,0.33391,1.02544,0.7923,0.98035,0.0007129,0.0007129,0.0007129
31,15269.5,0.91331,0.63437,0.92445,0.63016,0.43533,0.48956,0.32145,1.03124,0.81955,0.98163,0.000703,0.000703,0.000703
32,15762.3,0.91653,0.63786,0.92837,0.65966,0.44912,0.50496,0.32949,1.0305,0.79265,0.98534,0.0006931,0.0006931,0.0006931
