epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.953,1.38502,2.32013,1.08272,0.77139,0.11543,0.23655,0.14357,1.38045,2.47573,1.04377,0.000330128,0.000330128,0.000330128
2,713.954,1.26922,1.3209,1.03771,0.59847,0.26316,0.28316,0.16789,1.37842,1.53032,1.10423,0.000656893,0.000656893,0.000656893
3,1092.63,1.26415,1.20746,1.04657,0.54376,0.24045,0.24836,0.1499,1.40525,1.5594,1.15029,0.000977058,0.000977058,0.000977058
4,1518.85,1.24793,1.10494,1.04126,0.55428,0.27801,0.28718,0.17176,1.28078,1.24428,1.08106,0.0009703,0.0009703,0.0009703
5,1942.76,1.22109,1.03044,1.03178,0.63094,0.266,0.29215,0.17566,1.33817,1.25294,1.11234,0.0009604,0.0009604,0.0009604
6,2363.64,1.19377,0.98838,1.02323,0.44142,0.31682,0.33104,0.20342,1.25035,1.19283,1.06634,0.0009505,0.0009505,0.0009505
7,2787.89,1.17556,0.95555,1.0162,0.53098,0.31543,0.34553,0.21189,1.27504,1.11226,1.08719,0.0009406,0.0009406,0.0009406
8,3212.51,1.16154,0.9291,1.00945,0.58674,0.31575,0.34614,0.2117,1.21781,1.15962,1.04886,0.0009307,0.0009307,0.0009307
9,3631.33,1.14828,0.90949,1.00313,0.4988,0.32793,0.36972,0.22686,1.20848,1.05451,1.0506,0.0009208,0.0009208,0.0009208
10,4047.03,1.13132,0.8938,0.99624,0.67232,0.31554,0.35919,0.22168,1.2221,1.11145,1.04633,0.0009109,0.0009109,0.0009109
11,4372.33,1.12773,0.8793,0.99516,0.50771,0.31656,0.35585,0.22072,1.21087,1.06697,1.05226,0.000901,0.000901,0.000901
12,4698.34,1.11255,0.86181,0.99407,0.54745,0.34274,0.38419,0.23823,1.20242,1.03753,1.03914,0.0008911,0.0008911,0.0008911
13,5023.15,1.10612,0.85393,0.98731,0.54309,0.35302,0.39279,0.24578,1.17045,1.00367,1.02335,0.0008812,0.0008812,0.0008812
14,5350.04,1.10045,0.84978,0.98503,0.51098,0.34482,0.37459,0.23731,1.19091,1.01664,1.04465,0.0008713,0.0008713,0.0008713
15,5676.23,1.09377,0.83766,0.98272,0.53156,0.37305,0.39936,0.25155,1.15899,0.98165,1.02031,0.0008614,0.0008614,0.0008614
16,6001.19,1.09376,0.83872,0.98297,0.47676,0.36162,0.37484,0.23357,1.16205,1.02298,1.02556,0.0008515,0.0008515,0.0008515
17,6329.38,1.0914,0.83163,0.97859,0.51679,0.37495,0.39742,0.25104,1.17367,1.00867,1.03368,0.0008416,0.0008416,0.0008416
18,6656.82,1.0734,0.81491,0.97483,0.52642,0.39562,0.41847,0.26379,1.13791,0.95284,1.00571,0.0008317,0.0008317,0.0008317
19,6982.87,1.07511,0.81828,0.97783,0.54723,0.35558,0.38894,0.24341,1.16843,1.00181,1.02924,0.0008218,0.0008218,0.0008218
20,7309.61,1.07151,0.80393,0.97451,0.55269,0.34533,0.38604,0.24402,1.16653,1.0021,1.02261,0.0008119,0.0008119,0.0008119
21,7635.58,1.06339,0.7949,0.97027,0.5571,0.38248,0.41499,0.26255,1.14001,0.93282,1.01788,0.000802,0.000802,0.000802
22,7896.38,1.06351,0.79379,0.97349,0.58663,0.37399,0.41656,0.26056,1.13241,0.93515,1.01334,0.0007921,0.0007921,0.0007921
23,8221.75,1.06416,0.78719,0.96621,0.57366,0.36891,0.40886,0.25784,1.13752,0.93832,1.00338,0.0007822,0.0007822,0.0007822
24,8548.09,1.04541,0.77514,0.96515,0.55315,0.38208,0.41406,0.2581,1.13286,0.93369,1.00263,0.0007723,0.0007723,0.0007723
25,8873.34,1.04391,0.77188,0.96275,0.51648,0.3849,0.40652,0.2605,1.12474,0.92324,1.00284,0.0007624,0.0007624,0.0007624
26,9195.15,1.03947,0.7715,0.96475,0.56315,0.36898,0.40081,0.25331,1.13093,0.96831,1.01821,0.0007525,0.0007525,0.0007525
27,9520.07,1.03778,0.76458,0.96055,0.56658,0.40299,0.433,0.27119,1.11417,0.89128,1.00133,0.0007426,0.0007426,0.0007426
28,9844.51,1.03115,0.75526,0.95885,0.55853,0.37529,0.41147,0.25816,1.14158,0.96512,1.00809,0.0007327,0.0007327,0.0007327
29,10167.3,1.03026,0.75792,0.95953,0.60803,0.37645,0.42261,0.2657,1.12153,0.97017,1.0111,0.0007228,0.0007228,0.0007228
30,10492.4,1.02631,0.75746,0.95716,0.61669,0.38135,0.4345,0.27216,1.11801,0.91399,1.00637,0.0007129,0.0007129,0.0007129
31,10816.8,1.02812,0.74971,0.95568,0.59589,0.39734,0.4428,0.27919,1.10477,0.89058,0.99966,0.000703,0.000703,0.000703
32,11141.2,1.02141,0.74967,0.95707,0.61888,0.38613,0.43611,0.27493,1.11027,0.90975,1.00685,0.0006931,0.0006931,0.0006931
33,11466.2,1.01581,0.7409,0.9546,0.59497,0.38653,0.43372,0.27334,1.10635,0.90309,1.00102,0.0006832,0.0006832,0.0006832
34,11790.3,1.01282,0.73781,0.95153,0.55277,0.38907,0.42454,0.27078,1.11087,0.90251,1.00361,0.0006733,0.0006733,0.0006733
35,12115.2,1.01985,0.73825,0.95267,0.57139,0.38952,0.42784,0.27232,1.10095,0.89087,0.9935,0.0006634,0.0006634,0.0006634
36,12440.8,1.01051,0.73272,0.95204,0.61266,0.38753,0.43874,0.2778,1.09915,0.88993,0.99037,0.0006535,0.0006535,0.0006535
37,12766.6,1.01044,0.72932,0.95019,0.62319,0.39774,0.44188,0.27548,1.1146,0.91013,1.00213,0.0006436,0.0006436,0.0006436
38,13091.3,0.99724,0.71785,0.94611,0.59497,0.40014,0.44647,0.28225,1.09041,0.86369,0.99329,0.0006337,0.0006337,0.0006337
39,13416.6,0.99984,0.72223,0.94777,0.55738,0.40702,0.43664,0.27736,1.10025,0.87281,0.99938,0.0006238,0.0006238,0.0006238
40,13741.4,0.99726,0.71923,0.94609,0.56416,0.40558,0.43219,0.2723,1.11513,0.90768,1.00155,0.0006139,0.0006139,0.0006139
41,14065.1,0.99048,0.70964,0.94397,0.56765,0.39237,0.4323,0.27668,1.0906,0.89941,0.99061,0.000604,0.000604,0.000604
