epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.507,1.37959,2.17989,1.07957,0.43617,0.24896,0.2691,0.16408,1.36883,1.84694,1.05326,0.000331197,0.000331197,0.000331197
2,500.746,1.26185,1.29123,1.03899,0.65125,0.29405,0.32595,0.19797,1.26091,1.28049,1.03394,0.000631636,0.000631636,0.000631636
3,739.706,1.23417,1.16553,1.03364,0.63811,0.30022,0.33407,0.20131,1.2824,1.23465,1.07247,0.000899075,0.000899075,0.000899075
4,1021.88,1.22464,1.09035,1.0278,0.63104,0.28359,0.30969,0.18775,1.29464,1.32001,1.06782,0.0008515,0.0008515,0.0008515
5,1332.32,1.18168,1.0007,1.0144,0.48487,0.3415,0.36687,0.22362,1.21224,1.06652,1.03586,0.000802,0.000802,0.000802
6,1628.01,1.167,0.96586,1.00936,0.54068,0.32093,0.37123,0.23091,1.19678,1.10146,1.03454,0.0007525,0.0007525,0.0007525
7,1864.69,1.1467,0.92546,1.00004,0.60011,0.3421,0.37384,0.2331,1.17329,1.06847,1.01942,0.000703,0.000703,0.000703
8,2100.62,1.13058,0.90454,0.99556,0.49103,0.35575,0.38459,0.2408,1.16315,1.00143,1.02089,0.0006535,0.0006535,0.0006535
9,2336.84,1.10838,0.87001,0.98754,0.52248,0.3553,0.39167,0.24526,1.17094,1.0005,1.02549,0.000604,0.000604,0.000604
10,2572.79,1.10101,0.86107,0.98568,0.54651,0.35943,0.3944,0.24582,1.15934,0.9929,1.0205,0.0005545,0.0005545,0.0005545
11,2821.31,1.09925,0.85399,0.98012,0.52342,0.3581,0.39422,0.24769,1.15914,0.98494,1.01745,0.000505,0.000505,0.000505
12,3053.94,1.07841,0.82209,0.97299,0.52015,0.37486,0.40883,0.25725,1.14125,0.94009,1.00712,0.0004555,0.0004555,0.0004555
13,3286.63,1.06617,0.80425,0.96818,0.53173,0.37459,0.39937,0.25006,1.15631,0.95266,1.01409,0.000406,0.000406,0.000406
14,3518.3,1.05825,0.79396,0.9658,0.55704,0.36804,0.41196,0.26114,1.13706,0.93319,1.00711,0.0003565,0.0003565,0.0003565
15,3750.06,1.04354,0.77509,0.95814,0.56703,0.37788,0.42368,0.26806,1.12424,0.91489,0.99701,0.000307,0.000307,0.000307
16,4026.23,1.03368,0.75862,0.954,0.59403,0.36295,0.4184,0.26595,1.1122,0.92863,0.99581,0.0002575,0.0002575,0.0002575
17,4344.98,1.01576,0.74321,0.94802,0.56902,0.37777,0.42252,0.26752,1.11086,0.89913,0.99206,0.000208,0.000208,0.000208
18,4640.09,1.00379,0.72925,0.94291,0.57022,0.39283,0.43226,0.27197,1.10509,0.88756,0.99083,0.0001585,0.0001585,0.0001585
19,4968.9,0.99787,0.71917,0.94332,0.60442,0.39137,0.44299,0.28392,1.09381,0.87255,0.98992,0.000109,0.000109,0.000109
20,5273.18,0.98154,0.70292,0.93673,0.58986,0.40116,0.44881,0.28703,1.08278,0.85239,0.98233,5.95e-05,5.95e-05,5.95e-05
